Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5kV9rmMmhKhPT6BOmWbMHT,"Slow Fire","Don't Let the System Get You Down","LTJ Xperience",2015-10-23,348401,33,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"эйсид-джаз,джаз-фанк","Irma Records",0.838,0.261,6,-15.293,1,0.11,0.0212,0.856,0.0488,0.438,101.007,4
spotify:track:3WaCjeyRPGXa7QQe3vsFVM,"Darlin' Playa","Disco Goodies","Phonk D",2018-02-02,372224,22,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"ню-диско,диско-хаус,фанки-хаус","Footjob",0.773,0.83,6,-9.042,1,0.0479,0.000734,0.866,0.0797,0.651,120.005,4
spotify:track:2SXKHMIGU5Sjtcnm0o0wyq,"Might As Well Embrace It","Granada School Of Motion","Tar Blanche",2023-10-13,194514,53,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"джаз-хаус","Anniversary Records",0.773,0.612,6,-11.91,0,0.0461,0.32,0.893,0.45,0.157,120,4
spotify:track:2YvHEl0CwJdiVdo7UF3TGF,"De Mi Corazón","De Mi Corazón","Yves Murasca;Nebulae Waves",2023-07-28,142625,30,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"organic house,джаз-хаус","okwow",0.759,0.698,1,-10.194,1,0.0384,0.0735,0.802,0.0964,0.567,117.988,4
spotify:track:1OyB1mSTq3G65DwVva8YdL,"Gold Rush","Night Drive Without You","Miguel Campbell;Benjamin Diamond",2015-12-11,222697,30,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"ню-диско,дип-хаус,французский хаус","Outcross Records",0.888,0.269,9,-12.996,0,0.0922,0.000195,0.0742,0.0853,0.857,122.017,4
spotify:track:4cQ1dZh1yF6GBrpE9kqsuc,"Gloria","Gloria","DAWSON",2025-06-18,151841,57,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"джаз-хаус","Egoplanet",0.568,0.685,10,-10.898,0,0.043,0.458,0.833,0.107,0.0596,116.95,4
spotify:track:5wMhlHcon8U2WNA05QMUb6,"Collect 200","Collect 200","Collect 200",2025-04-25,170476,65,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"","Collect 200",0.829,0.684,2,-8.51,1,0.0347,0.0198,0.744,0.12,0.727,126.023,4
spotify:track:67etVpclmYqtz6Y83SDvWr,"Palacio","Palacio","Jazzflow",2025-03-07,186206,45,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"джаз-хаус","LoudKult",0.746,0.517,7,-12.451,1,0.0617,0.193,0.891,0.105,0.35,116.064,4
spotify:track:1r1wCui62hkiUjsPKg8JGp,"Останемся здесь","8 месяцев в Вегасе","ZOLOTO",2019-03-22,170565,35,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"","ZOLOTO under exclusive license to S&P Digital",0.761,0.559,9,-9.486,1,0.185,0.239,0.000164,0.0955,0.196,115.02,4
spotify:track:0FZ13sb8xdBuUXf7yROri1,"Angel Dust","Angel Dust","Traumton;62 Miles High",2025-04-16,345279,36,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"лаундж","Into The Groove",0.779,0.734,7,-5.621,0,0.0345,0.00522,0.872,0.0783,0.669,119.997,4
spotify:track:29jG74T7a3Z75BBHjf0MHk,"Sun Garden","Turn on the Music","Gadnr",2025-07-04,196250,37,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"джаз-хаус","Brass House Collective",0.641,0.554,0,-13.912,0,0.0341,0.213,0.899,0.12,0.47,120.009,4
spotify:track:6drMT2dvgw1uQWZ3XwWGm4,"Thoughts","Thoughts","Kelly Boesch",2025-05-17,171000,51,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"afro soul","Kelly Boesch",0.809,0.445,11,-16.402,0,0.0529,0.714,0.888,0.109,0.406,120.009,4
spotify:track:0LlMBhKoDVRsj8wwOUwjRu,"Ipanema Beach","Ipanema Beach","Ording;Lindenberg",2024-11-22,194000,47,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"лаундж","Groundunder Recordings",0.749,0.433,5,-15.428,0,0.0458,0.258,0.875,0.15,0.544,119.985,4
spotify:track:6beynYi9rzOrpYCX19SJT5,"Aperitivo","Aperitivo","Sunset Chillers",2025-07-04,343814,46,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"","Into The Groove",0.843,0.541,10,-8.409,0,0.0569,0.0652,0.874,0.0913,0.406,117.999,4
spotify:track:6d6Wmj7NALr7IJkdbXO1Zd,"Like To Go Fast","Like To Go Fast","Moe Turk",2025-08-08,198319,24,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"дип-хаус,ню-диско","KudoZ Records",0.799,0.43,4,-10.703,0,0.0781,0.0639,0.795,0.0589,0.493,122.024,4
spotify:track:6SYwcs48GUT5gLTb1nUHiL,"La Serana - Skyline Groove Cut","Weightless & Smooth - The Chill Adventure","Airstream;Phil Kinley",2021-05-07,305562,34,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"фанки-хаус,лаундж,джаз-хаус","Maretimo Records",0.86,0.58,8,-7.132,1,0.0537,0.24,0.866,0.0649,0.766,116.992,4
spotify:track:3uKnSrODRJJnvO4VlzfPtL,"DON'T LIE","SURVIVAL MODE","Rilès",2025-01-10,172260,39,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"французский рэп","RILÈSUNDAYZ",0.638,0.73,4,-5.446,0,0.355,0.257,0.0000383,0.373,0.591,159.985,4
spotify:track:1ZTPYW84hrPITnPFgHYG7k,"Sedatives","Stella Polaris - The Second Compilation","Nove",2008-10-17,278333,24,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"даунтемпо","Stella Polaris Music",0.592,0.689,5,-13.69,0,0.032,0.349,0.8,0.193,0.791,101.002,4
spotify:track:1KZhBsCPKwQqx0fXOyGbtp,"First Move","First Move","Winta",2025-09-28,404719,46,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"","Winta Groove Production",0.727,0.585,9,-12.186,0,0.0372,0.0427,0.00155,0.127,0.771,108.139,4
spotify:track:1GxJJVjPJT7D9DZ3uG1cRG,"Falling Through","Eclipsera","Special Chill Label",2025-09-05,243312,48,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"","Special Chill Label",0.813,0.262,9,-18.076,0,0.0502,0.313,0.291,0.105,0.331,119.967,4
spotify:track:0bgsj8kz5zWbQ6njk2Oqoz,"Soldier of Love","Soldier of Love","Sade",2010-02-08,356653,54,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"","RCA Records Label",0.775,0.572,0,-8.427,0,0.0633,0.0117,0.0293,0.0847,0.64,90.023,4
spotify:track:5KTHurbkWElVh4KkOmGn7S,"The Future","The Future","Tom Flynn;Amp Fiddler",2018-12-21,359166,0,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"неосоул,эйсид-джаз","DIRTYBIRD",0.804,0.628,11,-12.175,1,0.0483,0.0112,0.933,0.108,0.222,122.007,4
spotify:track:6e3ICR1QM9X8L4oQ3mUshv,"Chill Out","Lounge","Chill Out Master",2022-04-18,174709,20,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"лаундж","Zen",0.74,0.685,11,-9.58,0,0.0268,0.405,0.869,0.109,0.471,106.983,4
spotify:track:6Qgqo75UI5MkpbrPmIVRWU,"Sunday Afternoon Party","Club Life","Bossasonic",2008-01-01,212173,32,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"босанова,эйсид-джаз,ню-джаз,лаундж","Black Flame",0.7,0.74,9,-6.651,0,0.0542,0.0572,0.935,0.0765,0.75,154.995,4
spotify:track:7gum4Pf0fZkHjSKFUBTJw6,"Trifecta","Trifecta","Chairten",2025-09-26,180760,48,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"лаундж","Chairten",0.857,0.409,8,-9.511,0,0.113,0.0413,0.833,0.105,0.739,120.032,4
spotify:track:1l6WOPIoxO4Fos3G0vnFYs,"Here We Are","4","Nighthawks",2007-02-23,300533,32,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"ню-джаз","Herzog Records",0.757,0.548,8,-11.966,0,0.0522,0.828,0.643,0.112,0.864,81.507,4
spotify:track:0He2VIvmpxTQe1DtW0ikHh,"Bordeaux","Bordeaux","house red;muscato",2025-10-15,147226,46,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"джаз-хаус","Chill Ghost",0.658,0.388,5,-13.965,0,0.0394,0.76,0.776,0.109,0.249,119.011,4
spotify:track:5mSoqzA0VoYLfXZ1FDo36S,"We Are Not Perfect","We Are Not Perfect","Alex Stalart",2025-09-22,273159,56,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"","Alex Stalart",0.687,0.642,2,-8.762,0,0.0323,0.27,0.000572,0.101,0.585,95.019,4
spotify:track:22IwYR28UjRMrSEuQ0u7wD,"Ooh I Love It (Love Break) - Shep Pettibone 12"" Remix","Grandmaster Flash Presents: Salsoul Jam 2000","The Salsoul Orchestra;Shep Pettibone",2017-03-01,340946,0,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"филадельфийский соул,диско,постдиско,хай-энерджи","Salsoul Records",0.692,0.739,0,-7.629,1,0.137,0.00735,0.000524,0.558,0.772,116.179,4
spotify:track:7m2ozjBwVXovVB0QJx8W1H,"Кораллы","Слияние и Поглощение","Мумий Тролль",2005-07-01,248000,20,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"","Mumiy Troll",0.351,0.802,2,-5.1,0,0.0441,0.00561,0,0.065,0.491,115.843,4
spotify:track:4brg2z8vkmeAympwcVOrvX,"About Last Night","About Last Night","The Group Fire",2024-08-16,288975,35,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"христианский r&b,христианский джаз,госпел","Jet Records North/East",0.373,0.486,6,-8.589,0,0.0409,0.0399,0,0.131,0.221,149.305,3
spotify:track:63P2OKIAC5qhBNV7Oa2FmO,"Never Letting Go","Nocturnal Souls","Tropics",2018-06-29,237920,32,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"чилл-вейв","+ FOURS",0.458,0.52,6,-10.81,1,0.0459,0.633,0.725,0.0899,0.425,163.95,4
spotify:track:5QO79kh1waicV47BqGRL3g,"Save Your Tears","After Hours","The Weeknd",2020-03-20,215626,86,true,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"","Republic Records",0.679,0.825,0,-5.487,1,0.0309,0.0212,0.0000121,0.543,0.644,118.049,4
spotify:track:2dUoPJNN2ear720OcJzNFW,"Something Wicked This Way Comes","Lost Highway","Barry Adamson",1997-01-01,174840,0,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"эйсид-джаз","Strategic Marketing",0.652,0.553,10,-10.084,1,0.0345,0.00000998,0.861,0.119,0.574,99.568,4
spotify:track:0jWzeztaHFeYrDkpT5K4v3,"Ride","Ride","highpass",2020-09-25,273333,0,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"","highpass",0.738,0.539,7,-8.768,1,0.0353,0.452,0.801,0.126,0.406,110.01,4
spotify:track:31b3z9PBc2y6gSSbgXSVJb,"Queremos Paz","La Revancha Del Tango","Gotan Project",2001,316146,0,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"танго,ню-джаз","XL",0.812,0.616,2,-7.067,1,0.0305,0.0124,0.807,0.117,0.845,110.996,4
spotify:track:4m8ttWM8IKXyhpv89E867J,"Cherry Blossom Girl","Talkie Walkie","Air",2004-01-26,219760,64,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"трип-хоп,даунтемпо","Parlophone (France)",0.436,0.76,1,-7.906,0,0.0374,0.362,0.955,0.13,0.504,75.012,4
spotify:track:1IbyVxvS4UtAV6OelVOQsS,"Nocturne","Life Cycle","Keeno",2014-06-30,337600,39,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"ликвид-фанк,драм-н-бейс","Medschool",0.393,0.868,2,-6.337,1,0.0404,0.00971,0.89,0.066,0.0366,175.006,4
spotify:track:6DXxbTmiWnSmBjEhHkeN3u,"Grizzly Bear","Angus & Julia Stone","Angus & Julia Stone",2014-08-01,248520,6,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"","Angus & Julia Stone/RRE",0.902,0.438,9,-8.63,0,0.0493,0.503,0.135,0.101,0.943,118.048,4
spotify:track:3r1n1jalD5OEJA2uC4pGPC,"Koyemba","Gnawa EP","Polocorp",2020-12-04,390680,0,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"гнауа,французский инди-поп","Disco Halal",0.676,0.568,0,-11.056,1,0.0409,0.201,0.943,0.162,0.258,117.999,4
